model,ethnicity,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,African,DFDC,0.58,0.58,0.59,0.62,0.55,0.6,0.57,0.63
EfficientNetB4,Asian (East),DFDC,0.67,0.69,0.65,0.61,0.73,0.65,0.69,0.73
EfficientNetB4,Asian (South),DFDC,0.6,0.59,0.6,0.62,0.57,0.6,0.58,0.66
EfficientNetB4,Caucasian (American),DFDC,0.62,0.62,0.63,0.64,0.61,0.63,0.62,0.68
EfficientNetB4,Caucasian (European),DFDC,0.59,0.57,0.62,0.7,0.48,0.63,0.54,0.66
EfficientNetB4,African,FFPP,0.64,0.59,0.87,0.95,0.34,0.73,0.49,0.81
EfficientNetB4,Asian (East),FFPP,0.68,0.62,0.82,0.9,0.45,0.74,0.58,0.81
EfficientNetB4,Asian (South),FFPP,0.72,0.66,0.89,0.94,0.51,0.77,0.65,0.85
EfficientNetB4,Caucasian (American),FFPP,0.66,0.6,0.82,0.91,0.4,0.73,0.54,0.87
EfficientNetB4,Caucasian (European),FFPP,0.71,0.65,0.85,0.91,0.51,0.76,0.64,0.86
EfficientNetAutoAttnB4,African,DFDC,0.63,0.61,0.65,0.7,0.56,0.65,0.6,0.71
EfficientNetAutoAttnB4,Asian (East),DFDC,0.67,0.68,0.67,0.66,0.69,0.67,0.68,0.75
EfficientNetAutoAttnB4,Asian (South),DFDC,0.65,0.64,0.67,0.7,0.6,0.67,0.63,0.72
EfficientNetAutoAttnB4,Caucasian (American),DFDC,0.71,0.69,0.73,0.76,0.66,0.72,0.69,0.75
EfficientNetAutoAttnB4,Caucasian (European),DFDC,0.66,0.63,0.69,0.74,0.57,0.68,0.62,0.73
EfficientNetB4ST,African,FFPP,0.65,0.59,0.89,0.96,0.34,0.73,0.49,0.77
EfficientNetB4ST,Asian (East),FFPP,0.69,0.65,0.77,0.84,0.54,0.73,0.63,0.78
EfficientNetB4ST,Asian (South),FFPP,0.7,0.64,0.87,0.93,0.47,0.76,0.61,0.83
EfficientNetB4ST,Caucasian (American),FFPP,0.68,0.62,0.83,0.91,0.44,0.74,0.58,0.86
EfficientNetB4ST,Caucasian (European),FFPP,0.72,0.65,0.86,0.92,0.51,0.76,0.64,0.85
Xception,African,DFDC,0.6,0.56,0.73,0.89,0.3,0.69,0.43,0.71
Xception,Asian (East),DFDC,0.64,0.6,0.79,0.9,0.38,0.72,0.52,0.74
Xception,Asian (South),DFDC,0.62,0.59,0.7,0.82,0.42,0.68,0.52,0.69
Xception,Caucasian (American),DFDC,0.64,0.59,0.79,0.9,0.37,0.71,0.5,0.72
Xception,Caucasian (European),DFDC,0.59,0.56,0.74,0.9,0.28,0.69,0.41,0.7
EfficientNetAutoAttnB4ST,African,FFPP,0.59,0.55,0.91,0.98,0.2,0.71,0.33,0.84
EfficientNetAutoAttnB4ST,Asian (East),FFPP,0.62,0.58,0.76,0.89,0.35,0.7,0.48,0.79
EfficientNetAutoAttnB4ST,Asian (South),FFPP,0.66,0.59,0.94,0.98,0.33,0.74,0.49,0.85
EfficientNetAutoAttnB4ST,Caucasian (American),FFPP,0.64,0.59,0.89,0.96,0.32,0.73,0.47,0.87
EfficientNetAutoAttnB4ST,Caucasian (European),FFPP,0.68,0.61,0.89,0.95,0.4,0.75,0.55,0.89
EfficientNetAutoAttnB4ST,African,DFDC,0.65,0.62,0.69,0.76,0.54,0.68,0.61,0.68
EfficientNetAutoAttnB4ST,Asian (East),DFDC,0.62,0.61,0.63,0.67,0.58,0.64,0.6,0.69
EfficientNetAutoAttnB4ST,Asian (South),DFDC,0.64,0.62,0.66,0.72,0.55,0.66,0.6,0.67
EfficientNetAutoAttnB4ST,Caucasian (American),DFDC,0.66,0.65,0.66,0.68,0.63,0.66,0.65,0.71
EfficientNetAutoAttnB4ST,Caucasian (European),DFDC,0.6,0.58,0.64,0.73,0.48,0.65,0.55,0.67
EfficientNetAutoAttnB4,African,FFPP,0.64,0.58,0.94,0.98,0.29,0.73,0.44,0.82
EfficientNetAutoAttnB4,Asian (East),FFPP,0.67,0.62,0.8,0.89,0.45,0.73,0.58,0.78
EfficientNetAutoAttnB4,Asian (South),FFPP,0.64,0.59,0.8,0.91,0.36,0.71,0.5,0.83
EfficientNetAutoAttnB4,Caucasian (American),FFPP,0.66,0.6,0.88,0.95,0.36,0.73,0.51,0.88
EfficientNetAutoAttnB4,Caucasian (European),FFPP,0.7,0.63,0.9,0.95,0.45,0.76,0.6,0.88
EfficientNetB4ST,African,DFDC,0.6,0.58,0.64,0.73,0.48,0.65,0.55,0.66
EfficientNetB4ST,Asian (East),DFDC,0.67,0.65,0.7,0.74,0.61,0.69,0.65,0.73
EfficientNetB4ST,Asian (South),DFDC,0.62,0.6,0.65,0.71,0.53,0.65,0.58,0.68
EfficientNetB4ST,Caucasian (American),DFDC,0.65,0.62,0.7,0.77,0.53,0.69,0.6,0.7
