model,gender,ethnicity,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,men,African,DFDC,0.74,1.0,0.65,0.52,1.0,0.68,0.79,0.98
EfficientNetB4,men,Asian (East),DFDC,0.71,1.0,0.58,0.52,1.0,0.68,0.73,0.99
EfficientNetB4,men,Asian (South),DFDC,0.71,0.96,0.64,0.44,0.98,0.6,0.77,0.98
EfficientNetB4,men,Caucasian (American),DFDC,0.76,0.96,0.68,0.54,0.98,0.69,0.8,0.96
EfficientNetB4,men,Caucasian (European),DFDC,0.81,1.0,0.72,0.64,1.0,0.78,0.84,0.99
EfficientNetB4,women,African,DFDC,0.84,1.0,0.73,0.72,1.0,0.84,0.84,0.99
EfficientNetB4,women,Asian (East),DFDC,0.83,1.0,0.71,0.7,1.0,0.82,0.83,0.98
EfficientNetB4,women,Asian (South),DFDC,0.84,0.87,0.81,0.8,0.88,0.83,0.85,0.91
EfficientNetB4,women,Caucasian (American),DFDC,0.85,0.97,0.76,0.74,0.98,0.84,0.86,0.97
EfficientNetB4,women,Caucasian (European),DFDC,0.86,0.95,0.8,0.76,0.96,0.84,0.87,0.95
EfficientNetB4,men,African,FFPP,0.96,0.94,0.98,0.98,0.93,0.96,0.95,0.99
EfficientNetB4,men,Asian (East),FFPP,0.92,1.0,0.82,0.86,1.0,0.92,0.9,0.99
EfficientNetB4,men,Asian (South),FFPP,0.96,1.0,0.93,0.92,1.0,0.96,0.96,1.0
EfficientNetB4,men,Caucasian (American),FFPP,0.93,0.98,0.89,0.88,0.98,0.93,0.93,0.99
EfficientNetB4,men,Caucasian (European),FFPP,0.96,0.98,0.94,0.94,0.98,0.96,0.96,1.0
EfficientNetB4,women,African,FFPP,0.95,1.0,0.9,0.92,1.0,0.96,0.95,1.0
EfficientNetB4,women,Asian (East),FFPP,0.95,0.98,0.92,0.94,0.97,0.96,0.95,1.0
EfficientNetB4,women,Asian (South),FFPP,0.98,1.0,0.96,0.96,1.0,0.98,0.98,1.0
