model,gender,ethnicity,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,men,African,DFDC,0.7,0.81,0.65,0.52,0.88,0.63,0.75,0.85
EfficientNetB4,men,Asian (East),DFDC,0.68,0.96,0.53,0.52,0.96,0.68,0.68,0.95
EfficientNetB4,men,Asian (South),DFDC,0.7,0.92,0.63,0.44,0.96,0.59,0.76,0.87
EfficientNetB4,men,Caucasian (American),DFDC,0.67,0.73,0.63,0.54,0.8,0.62,0.71,0.78
EfficientNetB4,men,Caucasian (European),DFDC,0.8,0.94,0.73,0.64,0.96,0.76,0.83,0.9
EfficientNetB4,women,African,DFDC,0.8,0.86,0.76,0.72,0.88,0.78,0.81,0.89
EfficientNetB4,women,Asian (East),DFDC,0.77,0.81,0.73,0.7,0.83,0.75,0.78,0.84
EfficientNetB4,women,Asian (South),DFDC,0.74,0.71,0.77,0.8,0.68,0.75,0.72,0.8
EfficientNetB4,women,Caucasian (American),DFDC,0.72,0.71,0.73,0.74,0.7,0.73,0.71,0.81
EfficientNetB4,women,Caucasian (European),DFDC,0.7,0.68,0.73,0.76,0.64,0.72,0.68,0.78
EfficientNetB4,men,African,FFPP,0.8,0.72,0.97,0.98,0.62,0.83,0.76,0.93
EfficientNetB4,men,Asian (East),FFPP,0.85,0.9,0.77,0.86,0.82,0.88,0.79,0.94
EfficientNetB4,men,Asian (South),FFPP,0.87,0.84,0.91,0.92,0.82,0.88,0.86,0.96
EfficientNetB4,men,Caucasian (American),FFPP,0.76,0.71,0.84,0.88,0.64,0.79,0.73,0.92
EfficientNetB4,men,Caucasian (European),FFPP,0.87,0.82,0.93,0.94,0.8,0.88,0.86,0.94
EfficientNetB4,women,African,FFPP,0.8,0.74,0.89,0.92,0.68,0.82,0.77,0.95
EfficientNetB4,women,Asian (East),FFPP,0.87,0.82,0.93,0.94,0.79,0.88,0.85,0.92
EfficientNetB4,women,Asian (South),FFPP,0.9,0.86,0.95,0.96,0.84,0.91,0.89,0.97
EfficientNetB4,women,Caucasian (American),FFPP,0.87,0.82,0.93,0.94,0.8,0.88,0.86,0.96
EfficientNetB4,women,Caucasian (European),FFPP,0.8,0.76,0.86,0.88,0.72,0.81,0.78,0.93
EfficientNetAutoAttnB4,men,African,DFDC,0.77,0.85,0.72,0.66,0.88,0.74,0.79,0.88
EfficientNetAutoAttnB4,men,Asian (East),DFDC,0.77,0.94,0.62,0.68,0.93,0.79,0.74,0.92
EfficientNetAutoAttnB4,men,Asian (South),DFDC,0.76,0.86,0.7,0.62,0.9,0.72,0.79,0.88
EfficientNetAutoAttnB4,men,Caucasian (American),DFDC,0.7,0.69,0.72,0.74,0.66,0.71,0.69,0.78
EfficientNetAutoAttnB4,men,Caucasian (European),DFDC,0.78,0.82,0.75,0.72,0.84,0.77,0.79,0.87
EfficientNetAutoAttnB4,women,African,DFDC,0.8,0.84,0.77,0.74,0.86,0.79,0.81,0.9
EfficientNetAutoAttnB4,women,Asian (East),DFDC,0.71,0.76,0.68,0.64,0.79,0.7,0.73,0.81
EfficientNetAutoAttnB4,women,Asian (South),DFDC,0.75,0.74,0.77,0.78,0.72,0.76,0.74,0.82
