model,gender,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,men,DFDC,0.75,0.99,0.65,0.53,0.99,0.69,0.79,0.98
EfficientNetB4,women,DFDC,0.84,0.95,0.77,0.74,0.96,0.84,0.85,0.95
EfficientNetB4,men,FFPP,0.95,0.98,0.91,0.92,0.98,0.95,0.94,0.99
EfficientNetB4,women,FFPP,0.96,0.99,0.92,0.93,0.99,0.96,0.96,1.0
EfficientNetAutoAttnB4,men,DFDC,0.83,0.99,0.74,0.68,1.0,0.81,0.85,0.98
EfficientNetAutoAttnB4,women,DFDC,0.84,0.95,0.76,0.74,0.95,0.83,0.85,0.96
EfficientNetB4ST,men,FFPP,0.94,0.97,0.9,0.91,0.97,0.94,0.94,0.99
EfficientNetB4ST,women,FFPP,0.95,0.99,0.91,0.92,0.99,0.95,0.95,1.0
Xception,men,DFDC,0.92,0.97,0.87,0.87,0.97,0.92,0.92,0.98
Xception,women,DFDC,0.9,0.92,0.88,0.9,0.91,0.91,0.9,0.96
EfficientNetAutoAttnB4ST,men,FFPP,0.93,0.93,0.94,0.95,0.92,0.94,0.93,0.99
EfficientNetAutoAttnB4ST,women,FFPP,0.97,0.98,0.95,0.96,0.98,0.97,0.96,1.0
EfficientNetAutoAttnB4ST,men,DFDC,0.77,0.99,0.68,0.58,0.99,0.73,0.8,0.96
EfficientNetAutoAttnB4ST,women,DFDC,0.88,0.91,0.84,0.85,0.91,0.88,0.87,0.95
EfficientNetAutoAttnB4,men,FFPP,0.95,0.95,0.95,0.96,0.94,0.95,0.95,0.99
EfficientNetAutoAttnB4,women,FFPP,0.94,0.97,0.91,0.92,0.97,0.94,0.94,0.99
EfficientNetB4ST,men,DFDC,0.81,0.99,0.72,0.65,1.0,0.79,0.84,0.97
EfficientNetB4ST,women,DFDC,0.88,0.93,0.83,0.83,0.93,0.88,0.87,0.95
Xception,men,FFPP,0.93,0.93,0.93,0.94,0.92,0.93,0.93,0.98
Xception,women,FFPP,0.95,0.99,0.91,0.92,0.99,0.95,0.95,0.99
CrossEffViT,men,DFDC_FFPP,0.93,0.99,0.88,0.88,0.99,0.93,0.93,0.99
CrossEffViT,women,DFDC_FFPP,0.96,1.0,0.92,0.92,1.0,0.96,0.96,1.0
