model,gender,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,men,DFDC,0.71,0.86,0.64,0.53,0.91,0.66,0.75,0.86
EfficientNetB4,women,DFDC,0.74,0.75,0.74,0.74,0.75,0.75,0.74,0.82
EfficientNetB4,men,FFPP,0.83,0.79,0.89,0.92,0.73,0.85,0.8,0.93
EfficientNetB4,women,FFPP,0.85,0.8,0.91,0.93,0.77,0.86,0.83,0.95
EfficientNetAutoAttnB4,men,DFDC,0.76,0.82,0.71,0.68,0.83,0.75,0.76,0.86
EfficientNetAutoAttnB4,women,DFDC,0.75,0.76,0.74,0.74,0.76,0.75,0.75,0.83
EfficientNetB4ST,men,FFPP,0.82,0.78,0.88,0.91,0.71,0.84,0.79,0.92
EfficientNetB4ST,women,FFPP,0.84,0.8,0.9,0.92,0.76,0.85,0.83,0.94
Xception,men,DFDC,0.8,0.78,0.83,0.87,0.73,0.82,0.78,0.87
Xception,women,DFDC,0.74,0.69,0.85,0.9,0.58,0.78,0.69,0.84
EfficientNetAutoAttnB4ST,men,FFPP,0.77,0.71,0.91,0.95,0.57,0.81,0.7,0.91
EfficientNetAutoAttnB4ST,women,FFPP,0.81,0.74,0.94,0.96,0.65,0.83,0.77,0.93
EfficientNetAutoAttnB4ST,men,DFDC,0.71,0.8,0.65,0.58,0.85,0.67,0.73,0.83
EfficientNetAutoAttnB4ST,women,DFDC,0.72,0.67,0.79,0.85,0.58,0.75,0.67,0.79
EfficientNetAutoAttnB4,men,FFPP,0.77,0.71,0.92,0.96,0.57,0.81,0.7,0.9
EfficientNetAutoAttnB4,women,FFPP,0.79,0.73,0.89,0.92,0.66,0.81,0.75,0.91
EfficientNetB4ST,men,DFDC,0.74,0.82,0.69,0.65,0.85,0.73,0.76,0.85
EfficientNetB4ST,women,DFDC,0.74,0.7,0.79,0.83,0.65,0.76,0.71,0.83
Xception,men,FFPP,0.77,0.72,0.89,0.94,0.6,0.81,0.72,0.88
Xception,women,FFPP,0.83,0.79,0.9,0.92,0.75,0.85,0.82,0.91
CrossEffViT,men,DFDC_FFPP,0.87,0.88,0.87,0.88,0.86,0.88,0.87,0.94
CrossEffViT,women,DFDC_FFPP,0.87,0.84,0.91,0.92,0.83,0.88,0.87,0.96
