model,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,DFDC,0.8,0.97,0.7,0.64,0.98,0.77,0.82,0.96
EfficientNetB4,FFPP,0.95,0.99,0.92,0.92,0.98,0.95,0.95,0.99
EfficientNetAutoAttnB4,DFDC,0.84,0.97,0.75,0.71,0.98,0.82,0.85,0.97
EfficientNetB4ST,FFPP,0.94,0.98,0.91,0.91,0.98,0.94,0.94,0.99
Xception,DFDC,0.91,0.94,0.88,0.88,0.94,0.91,0.91,0.97
EfficientNetAutoAttnB4ST,FFPP,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.99
EfficientNetAutoAttnB4ST,DFDC,0.82,0.94,0.74,0.71,0.95,0.81,0.83,0.95
EfficientNetAutoAttnB4,FFPP,0.95,0.96,0.93,0.94,0.96,0.95,0.94,0.99
EfficientNetB4ST,DFDC,0.85,0.96,0.77,0.74,0.96,0.84,0.85,0.95
Xception,FFPP,0.94,0.96,0.92,0.93,0.95,0.94,0.94,0.98
CrossEffViT,DFDC_FFPP,0.94,0.99,0.9,0.9,0.99,0.95,0.94,0.99
