model,training_dataset,accuracy,precision_0,precision_1,recall_0,recall_1,f1_0,f1_1,auc-roc
EfficientNetB4,DFDC,0.73,0.79,0.68,0.64,0.82,0.71,0.75,0.83
EfficientNetB4,FFPP,0.84,0.79,0.9,0.92,0.75,0.85,0.82,0.94
EfficientNetAutoAttnB4,DFDC,0.75,0.78,0.72,0.71,0.79,0.75,0.76,0.84
EfficientNetB4ST,FFPP,0.83,0.79,0.89,0.91,0.74,0.84,0.81,0.93
Xception,DFDC,0.77,0.73,0.84,0.88,0.65,0.8,0.74,0.86
EfficientNetAutoAttnB4ST,FFPP,0.79,0.72,0.92,0.95,0.62,0.82,0.74,0.92
EfficientNetAutoAttnB4ST,DFDC,0.71,0.72,0.7,0.71,0.71,0.72,0.71,0.79
EfficientNetAutoAttnB4,FFPP,0.78,0.72,0.9,0.94,0.61,0.81,0.73,0.91
EfficientNetB4ST,DFDC,0.74,0.75,0.73,0.74,0.74,0.75,0.74,0.83
Xception,FFPP,0.8,0.75,0.9,0.93,0.68,0.83,0.77,0.9
CrossEffViT,DFDC_FFPP,0.87,0.86,0.89,0.9,0.84,0.88,0.87,0.95
